"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-27","3.5",",,W","0.0",",,X,2400","0.0",",,X,","102.0",",,X,",,,"2.8",",,X","-0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-28","2.7",",,W","1.8",",,X,2400","15.0",",,X,","102.0",",,X,",,,"3.3",",,X","-1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-29","2.6",",,W","0.0",",,X,2400","0.0",",,X,","102.0",",,X,",,,"2.8",",,X","-1.7",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-30","1.4",",,W","0.0",",,X,2400","0.0",",,X,","76.0",",,X,",,,"6.7",",,X","-2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-31","3.4",",,W","0.0","T,,X,2400","0.0","T,,X,","51.0",",,X,",,,"2.8",",,X","-1.7",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-01","0.9",",,W","2.5",",,X,2400","0.0",",,X,","51.0",",,X,",,,"3.3",",,X","-1.7",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-02","4.7",",,W","16.8",",,X,2400","0.0",",,X,","25.0",",,X,",,,"11.1",",,X","1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-03","4.9",",,W","0.0",",,X,2400","0.0",",,X,","25.0",",,Z,",,,"2.8",",,X","-1.7",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-04","2.5",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.6",",,X","-2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-05","2.6",",,W","3.6",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.6",",,X","1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-06","2.6",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"9.4",",,X","2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-07","0.9",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.0",",,X","-1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-08","7.1",",,W","0.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.0",",,X","-3.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-09","3.6",",,W","0.3",",,X,2400","3.0",",,X,","0.0",",,X,",,,"0.6",",,X","-7.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-10","4.1",",,W","0.0","T,,X,2400","0.0","T,,X,","0.0","T,,X,",,,"1.1",",,X","-4.4",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-11","1.8",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"6.7",",,X","-5.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-12","3.8",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","-5.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-13","5.0",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"12.2",",,X","0.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-02-14","7.8",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"21.1",",,X","6.1",",,X"
